"文字","画数"
"隊","12"
"然","12"
"象","12"
"焼","12"
"順","12"
"散","12"
"最","12"
"結","12"
"景","12"
"極","12"
"給","12"
"喜","12"
"覚","12"
"開","12"
"落","12"
"陽","12"
"葉","12"
"遊","12"
"筆","12"
"悲","12"
"童","12"
"等","12"
"登","12"
"湯","12"
"着","12"
"短","12"
"植","12"
"勝","12"
"暑","12"
"集","12"
"歯","12"
"港","12"
"湖","12"
"軽","12"
"期","12"
"寒","12"
"階","12"
"温","12"
"運","12"
"飲","12"
"番","12"
"買","12"
"道","12"
"答","12"
"朝","12"
"晴","12"
"場","12"
"間","12"
"絵","12"
"雲","12"
"森","12"
"梢","11"
"菖","11"
"菫","11"
"凰","11"
"眸","11"
"萠","11"
"捲","11"
"逢","11"
"椛","11"
"梅","11"
"敏","11"
"埴","11"
"逞","11"
"牽","11"
"逗","11"
"冨","11"
"菅","11"
"絃","11"
"羚","11"
"捷","11"
"袴","11"
"這","11"
"皐","11"
"悉","11"
"庵","11"
"巢","11"
"毬","11"
"梓","11"
"埜","11"
"晚","11"
"晨","11"
"偲","11"
"惚","11"
"崚","11"
"萊","11"
"笹","11"
"砦","11"
"梛","11"
"雀","11"
"惟","11"
"渚","11"
"梧","11"
"掠","11"
"淳","11"
"琉","11"
"惇","11"
"淚","11"
"絆","11"
"梁","11"
"菱","11"
"笙","11"
"淋","11"
"晦","11"
"脩","11"
"笠","11"
"彗","11"
"萌","11"
"帶","11"
"捺","11"
"國","11"
"淀","11"
"陷","11"
"舵","11"
"寅","11"
"條","11"
"彬","11"
"梯","11"
"晝","11"
"琢","11"
"圈","11"
"從","11"
"梶","11"
"專","11"
"將","11"
"袈","11"
"萄","11"
"掬","11"
"畢","11"
"捧","11"
"兜","11"
"敍","11"
"菩","11"
"訣","11"
"釧","11"
"猪","11"
"桶","11"
"祥","11"
"淨","11"
"彪","11"
"祷","11"
"徠","11"
"朗","11"
"雫","11"
"紬","11"
"累","11"
"陵","11"
"猟","11"
"涼","11"
"隆","11"
"粒","11"
"庸","11"
"悠","11"
"唯","11"
"猛","11"
"麻","11"
"堀","11"
"崩","11"
"偏","11"
"符","11"
"瓶","11"
"猫","11"
"描","11"
"販","11"
"舶","11"
"陪","11"
"培","11"
"排","11"
"婆","11"
"粘","11"
"捻","11"
"軟","11"
"梨","11"
"貪","11"
"豚","11"
"陶","11"
"盗","11"
"悼","11"
"添","11"
"偵","11"
"陳","11"
"釣","11"
"眺","11"
"彫","11"
"窒","11"
"淡","11"
"脱","11"
"逮","11"
"袋","11"
"堆","11"
"唾","11"
"爽","11"
"曽","11"
"曹","11"
"掃","11"
"粗","11"
"措","11"
"旋","11"
"戚","11"
"惜","11"
"据","11"
"崇","11"
"酔","11"
"紳","11"
"剰","11"
"訟","11"
"紹","11"
"渉","11"
"庶","11"
"粛","11"
"淑","11"
"渋","11"
"羞","11"
"寂","11"
"釈","11"
"蛇","11"
"斜","11"
"赦","11"
"執","11"
"鹿","11"
"斬","11"
"惨","11"
"崎","11"
"埼","11"
"斎","11"
"彩","11"
"紺","11"
"痕","11"
"婚","11"
"頃","11"
"梗","11"
"控","11"
"舷","11"
"蛍","11"
"渓","11"
"掲","11"
"啓","11"
"掘","11"
"偶","11"
"惧","11"
"菌","11"
"虚","11"
"脚","11"
"菊","11"
"偽","11"
"亀","11"
"貫","11"
"患","11"
"勘","11"
"乾","11"
"渇","11"
"喝","11"
"掛","11"
"郭","11"
"殻","11"
"涯","11"
"崖","11"
"菓","11"
"陰","11"
"淫","11"
"逸","11"
"萎","11"
"尉","11"
"翌","11"
"欲","11"
"郵","11"
"訳","11"
"密","11"
"訪","11"
"閉","11"
"脳","11"
"頂","11"
"著","11"
"探","11"
"窓","11"
"盛","11"
"推","11"
"捨","11"
"視","11"
"済","11"
"郷","11"
"域","11"
"異","11"
"略","11"
"務","11"
"婦","11"
"貧","11"
"張","11"
"断","11"
"率","11"
"設","11"
"接","11"
"責","11"
"情","11"
"常","11"
"術","11"
"授","11"
"採","11"
"混","11"
"現","11"
"険","11"
"経","11"
"許","11"
"規","11"
"寄","11"
"基","11"
"眼","11"
"液","11"
"移","11"
"陸","11"
"望","11"
"副","11"
"票","11"
"敗","11"
"得","11"
"堂","11"
"停","11"
